teixit,volta,longitud_total,num_tokens_atomics,num_macros,prof_max,frac_outlier,tokens_desconeguts,num_blocks_verticals,sum_n_voltes_verticals,max_n_voltes_verticals,max_seq_len_vertical,frac_verticals,dist_cosinus_volta_anterior,z_salt_global,dist_centroide_teixit,z_intra_teixit,frac_C0,frac_C1,frac_C2,frac_C3,frac_C4,frac_C5,frac_C6,frac_C_RARE
CM_Pasión,1,3,3,0,0,0.0,0,0,0,0,0,0.0,,,0.315534,2.093785,0.0,0.666667,0.0,0.0,0.0,0.333333,0.0,0.0
CM_Pasión,3,5,5,0,0,0.0,0,0,0,0,0,0.0,0.254644,0.783881,0.078362,-0.534106,0.0,0.4,0.0,0.4,0.0,0.2,0.0,0.0
CM_Pasión,5,5,5,2,1,0.0,0,0,0,0,0,0.0,0.444444,1.911912,0.263461,1.51681,0.4,0.4,0.0,0.0,0.0,0.2,0.0,0.0
CM_Pasión,7,5,5,2,1,0.0,0,0,0,0,0,0.0,0.0,-0.729536,0.263461,1.51681,0.4,0.4,0.0,0.0,0.0,0.2,0.0,0.0
CM_Pasión,9,5,5,2,1,0.0,0,0,0,0,0,0.0,0.0,-0.729536,0.263461,1.51681,0.4,0.4,0.0,0.0,0.0,0.2,0.0,0.0
CM_Pasión,11,5,5,2,1,0.0,0,0,0,0,0,0.0,0.0,-0.729536,0.263461,1.51681,0.4,0.4,0.0,0.0,0.0,0.2,0.0,0.0
CM_Pasión,13,6,6,2,1,0.0,0,0,0,0,0,0.0,0.020042,-0.610421,0.223926,1.078758,0.333333,0.5,0.0,0.0,0.0,0.166667,0.0,0.0
CM_Pasión,15,6,6,1,1,0.0,0,0,0,0,0,0.0,0.408392,1.697645,0.113872,-0.140657,0.0,0.333333,0.0,0.333333,0.166667,0.166667,0.0,0.0
CM_Pasión,17,8,8,1,1,0.0,0,0,0,0,0,0.0,0.123541,0.004701,0.07495,-0.571908,0.125,0.25,0.0,0.5,0.0,0.125,0.0,0.0
CM_Pasión,19,8,8,3,1,0.0,0,0,0,0,0,0.0,0.19597,0.435166,0.108204,-0.203457,0.375,0.25,0.0,0.25,0.0,0.125,0.0,0.0
